X longitude,Y Latitude,ID,Nama Objek,Alamat,Kontak,Type,Desa,Kecamatan,Kabupaten,Prov,Master_category
-7.82144200000,110.36772600000,3471010003,Praktek Dokter Dr. Heni Suryadi,"JL. Parangtritis, Km. 3,5, Yogyakarta, DI Yogyakarta",0274 374 154,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81988567913,110.36474567700,3471010003,CV. Iyang Sari,"JL Jogokaryan, No. 19 RT. 032 / RW. 09, Mantrijeron, Mantrijeron, Yogyakarta, DI Yogyakarta, 55143",0274 372 416,Pharmacy,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82165328046,110.36666810400,3471010003,Autosond Center,"JL. Mangkuyudan, No. 54, Yogyakarta, DI Yogyakarta",0274 387 480,Salon & Spa,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82436000000,110.36633491500,3471010003,Wie Sandra Shop,"JL. Jogokaryan, No.45, Yogyakarta",", 0812 2721 0399",Public Health Service,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81757845934,110.35881075400,3471010002,Drentcar Yogyakarta,"JL Suryodiningratan, No. 16, Yogyakarta, DI Yogyakarta, 55141",0877 3886 3338,Clinic,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81844000000,110.36696796600,3471010003,Petrichor Tattoo Studio,"JL. Tirtodipuran, No. 15, Bantul, 55143",", 0856 4777 6200",Public Health Service,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81340600000,110.35878000000,3471010002,Anugerah Fabric Store,"JL MT Haryono, No. 34-35, Yogyakarta, DI Yogyakarta",0878 3943 0220,Clinic,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82154807331,110.36762237500,3471010003,Herbamil Junior Ammanyta Online Shop,"JL. Parang Tritis, Yogyakarta, DI Yogyakarta",0856 2563 544,Pharmacy,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81444759122,110.35622430700,3471010002,Kedhaton Aroma Theraphy &amp; Material Spa,"JL Bantul, Km. 7, Yogyakarta, DI Yogyakarta",0274 368 219,Salon & Spa,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81512809414,110.36605596500,3471010003,Toko Kosmetik Dan Kesehatan,"JL Mayjend Sutoyo, No.65, Mantrijeron, Yogyakarta, DI Yogyakarta",0878 2364 2014,Salon & Spa,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82137800891,110.36753654500,3471010003,Klinik Epiderma,"JL Parangtritis, No. 126 B, Mantrijeron, Yogyakarta, DI Yogyakarta",0274 378 686,Salon & Spa,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82192000000,110.36658000000,3471010003,Restorelax,"JL Mangkuyudan, No. 53, Mantrijeron, Yogyakarta, DI Yogyakarta",0274 377 765,Salon & Spa,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
